epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.077,1.2374,2.65371,1.69721,0.08178,0.45438,0.16024,0.08113,1.33491,3.20553,1.93769,0.000465256,0.000465256,0.000465256
2,445.85,1.27226,2.19444,1.70932,0.31588,0.18984,0.15948,0.06582,1.63539,3.2956,2.33631,0.000932267,0.000932267,0.000932267
3,662.276,1.36545,2.10252,1.74749,0.14488,0.47409,0.11079,0.04094,1.8908,5.80755,2.79669,0.00138985,0.00138985,0.00138985
4,875.904,1.39193,2.05333,1.79421,0.16145,0.37886,0.10515,0.04887,1.77926,6.34308,2.60198,0.00138656,0.00138656,0.00138656
5,1086.7,1.42233,1.92075,1.77374,0.26892,0.28411,0.21276,0.07183,2.17003,2.72251,2.70253,0.00137241,0.00137241,0.00137241
6,1298.16,1.35032,1.87654,1.74015,0.20817,0.31293,0.09041,0.03445,2.35551,3.82283,2.70665,0.00135826,0.00135826,0.00135826
7,1507.91,1.32136,1.79287,1.71679,0.44313,0.2826,0.21371,0.08842,1.88576,2.59469,2.52492,0.00134412,0.00134412,0.00134412
8,1717.02,1.32146,1.67517,1.69675,0.34302,0.43091,0.25314,0.12566,1.52403,3.06031,2.18528,0.00132997,0.00132997,0.00132997
9,1925.59,1.33057,1.72996,1.71531,0.41846,0.37166,0.33567,0.16819,1.59724,2.08049,2.2302,0.00131582,0.00131582,0.00131582
10,2151.44,1.28743,1.69716,1.68238,0.23225,0.23781,0.12155,0.0538,1.62787,3.75764,2.27749,0.00130168,0.00130168,0.00130168
11,2361,1.23951,1.63274,1.63495,0.21191,0.37804,0.15043,0.07633,1.65596,2.89866,2.23679,0.00128753,0.00128753,0.00128753
12,2570.64,1.2494,1.5695,1.65182,0.24004,0.37992,0.21789,0.08544,1.95985,2.3325,2.47813,0.00127338,0.00127338,0.00127338
13,2779.92,1.25601,1.53805,1.66687,0.43295,0.35236,0.29459,0.1455,1.65627,1.98767,2.32184,0.00125923,0.00125923,0.00125923
