epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,634.864,1.50946,2.6844,1.80073,0.37695,0.32185,0.19042,0.08614,1.52318,3.9598,2.1385,0.000472955,0.000472955,0.000472955
2,1248.36,1.58031,2.21261,1.85833,0.35622,0.37646,0.25929,0.11816,1.67442,3.09705,2.20136,0.000855309,0.000855309,0.000855309
3,1854.25,1.60964,2.0272,1.8713,0.49488,0.46295,0.42161,0.20808,1.60999,2.23818,2.20846,0.00114335,0.00114335,0.00114335
4,2462.81,1.55197,1.9241,1.84388,0.44621,0.47269,0.40051,0.20673,1.47218,2.34194,2.03294,0.00100459,0.00100459,0.00100459
5,3072.21,1.50691,1.69955,1.77746,0.39672,0.5163,0.41078,0.21849,1.42668,2.24988,1.9712,0.000863116,0.000863116,0.000863116
6,3679.47,1.46943,1.60276,1.76052,0.50896,0.49317,0.48007,0.2818,1.33871,1.98543,1.88554,0.000721645,0.000721645,0.000721645
7,4286.2,1.42177,1.45693,1.70433,0.56632,0.56668,0.54045,0.30833,1.35167,1.71489,1.86829,0.000580174,0.000580174,0.000580174
8,4897.97,1.37332,1.3628,1.65868,0.56982,0.5684,0.53316,0.31524,1.30365,1.67331,1.83468,0.000438703,0.000438703,0.000438703
9,5514.62,1.31616,1.27812,1.60758,0.66861,0.52868,0.59387,0.35896,1.27377,1.62582,1.81687,0.000297232,0.000297232,0.000297232
10,6259.25,1.27763,1.19689,1.57926,0.67669,0.58787,0.62969,0.38862,1.20486,1.49685,1.71633,0.000155761,0.000155761,0.000155761
