epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,929.276,1.44322,1.52454,1.64624,0.65678,0.54679,0.57704,0.33503,1.45234,1.89157,2.01053,0.000474644,0.000474644,0.000474644
2,1777.56,1.4564,1.59659,1.68538,0.63414,0.49932,0.54489,0.30427,1.47772,1.75908,2.05695,0.000903904,0.000903904,0.000903904
3,2476.48,1.49687,1.64504,1.70756,0.60545,0.47316,0.51522,0.27987,1.44961,1.8136,2.0236,0.00128601,0.00128601,0.00128601
4,3157.41,1.4754,1.61118,1.69434,0.59405,0.52866,0.52095,0.27632,1.48695,1.87174,2.06965,0.00121679,0.00121679,0.00121679
5,3834.63,1.46229,1.59351,1.67881,0.5633,0.4519,0.46813,0.25656,1.44239,2.2753,2.02724,0.00114606,0.00114606,0.00114606
6,4507.89,1.45251,1.51033,1.65612,0.62985,0.5504,0.58788,0.33151,1.41941,1.84693,1.99311,0.00107532,0.00107532,0.00107532
7,5186.63,1.43499,1.49234,1.66302,0.58362,0.56781,0.56494,0.32332,1.38172,1.63122,1.97867,0.00100459,0.00100459,0.00100459
8,5871.32,1.39808,1.44442,1.62416,0.63808,0.58222,0.59741,0.3382,1.43617,1.75506,1.96863,0.000933851,0.000933851,0.000933851
9,6552.22,1.36669,1.38483,1.5968,0.5939,0.53855,0.555,0.32462,1.40323,1.88985,1.97903,0.000863116,0.000863116,0.000863116
10,7201.94,1.37316,1.39781,1.60976,0.63005,0.56057,0.59189,0.35048,1.28585,1.64354,1.84997,0.00079238,0.00079238,0.00079238
11,7885.29,1.33158,1.27631,1.65191,0.52854,0.56133,0.49387,0.30048,1.28592,1.93013,1.82839,0.000721645,0.000721645,0.000721645
12,8643,1.27679,1.2174,1.61431,0.52919,0.52876,0.50742,0.30587,1.25939,1.92361,1.81012,0.000650909,0.000650909,0.000650909
13,9568.51,1.25952,1.14076,1.5936,0.67667,0.57905,0.61295,0.36727,1.28156,1.48358,1.85096,0.000580174,0.000580174,0.000580174
14,10363.7,1.23612,1.11742,1.57636,0.6871,0.56944,0.61936,0.37098,1.2614,1.49681,1.84807,0.000509438,0.000509438,0.000509438
15,11201,1.1885,1.04527,1.53878,0.57451,0.58962,0.59756,0.36898,1.2381,1.58641,1.80459,0.000438703,0.000438703,0.000438703
16,11930.1,1.17428,1.0074,1.51902,0.67347,0.59725,0.64304,0.40185,1.19989,1.40621,1.7526,0.000367967,0.000367967,0.000367967
17,12676.6,1.13675,0.93269,1.48753,0.64674,0.56893,0.61757,0.38866,1.21475,1.47452,1.75654,0.000297232,0.000297232,0.000297232
18,13504.9,1.11047,0.91947,1.46467,0.6658,0.54463,0.61415,0.38083,1.18994,1.63608,1.75313,0.000226497,0.000226497,0.000226497
19,14314.8,1.08807,0.88541,1.45403,0.69698,0.55831,0.64172,0.40406,1.18218,1.43621,1.73353,0.000155761,0.000155761,0.000155761
20,15102.4,1.07436,0.83961,1.42624,0.68972,0.58963,0.65074,0.41425,1.16623,1.39715,1.70928,8.50255e-05,8.50255e-05,8.50255e-05
