epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.159,1.42237,1.43976,1.6266,0.5848,0.61788,0.60119,0.35368,1.28185,1.67829,1.82925,0.000474644,0.000474644,0.000474644
2,833.721,1.42293,1.39779,1.62734,0.66433,0.54755,0.60938,0.35647,1.33703,1.65651,1.91697,0.000903904,0.000903904,0.000903904
3,1244.97,1.41068,1.36865,1.62326,0.63655,0.573,0.57827,0.3328,1.35271,1.79174,1.9358,0.00128601,0.00128601,0.00128601
4,1659.98,1.41771,1.34429,1.62662,0.6252,0.59383,0.60653,0.35945,1.32527,1.7428,1.88754,0.00121679,0.00121679,0.00121679
5,2071.5,1.38598,1.33618,1.61766,0.6353,0.58367,0.60443,0.34245,1.45493,1.62291,2.00421,0.00114606,0.00114606,0.00114606
6,2484.81,1.37143,1.31962,1.59636,0.67783,0.56023,0.6351,0.37914,1.39174,1.64265,1.94965,0.00107532,0.00107532,0.00107532
7,2894.47,1.34783,1.26793,1.58594,0.61269,0.55435,0.56572,0.32635,1.38783,1.76465,1.96232,0.00100459,0.00100459,0.00100459
8,3307.1,1.34871,1.26228,1.58744,0.65017,0.6029,0.62106,0.36483,1.37336,1.61072,1.93206,0.000933851,0.000933851,0.000933851
9,3717.94,1.32855,1.23174,1.56177,0.63561,0.57628,0.60807,0.36169,1.39044,1.66591,1.93628,0.000863116,0.000863116,0.000863116
10,4129.63,1.30525,1.19643,1.548,0.60284,0.58542,0.59732,0.36312,1.36736,1.58794,1.91126,0.00079238,0.00079238,0.00079238
11,4535.76,1.21115,1.01264,1.53703,0.66224,0.5983,0.63662,0.38742,1.27351,1.49478,1.84391,0.000721645,0.000721645,0.000721645
12,4945.18,1.20458,0.98605,1.54575,0.64457,0.6271,0.64335,0.39283,1.29685,1.44242,1.8523,0.000650909,0.000650909,0.000650909
13,5353.57,1.1751,0.95053,1.50623,0.65486,0.60634,0.64011,0.39526,1.23628,1.48997,1.77132,0.000580174,0.000580174,0.000580174
14,5756.47,1.15109,0.92521,1.49231,0.66232,0.61351,0.64427,0.39516,1.24929,1.44361,1.81461,0.000509438,0.000509438,0.000509438
15,6160.65,1.12482,0.89413,1.47904,0.68008,0.61069,0.6497,0.40051,1.23759,1.46286,1.79463,0.000438703,0.000438703,0.000438703
16,6565.2,1.11089,0.87713,1.45916,0.61267,0.63047,0.63444,0.39562,1.24087,1.50592,1.78567,0.000367967,0.000367967,0.000367967
17,6969.78,1.10977,0.86083,1.44874,0.66341,0.60851,0.64299,0.39871,1.22587,1.47089,1.76462,0.000297232,0.000297232,0.000297232
18,7374.49,1.07783,0.83681,1.43287,0.64862,0.60534,0.64599,0.40491,1.2566,1.4211,1.82871,0.000226497,0.000226497,0.000226497
19,7778.92,1.06527,0.8202,1.42725,0.66855,0.59679,0.65916,0.41007,1.26072,1.41671,1.83326,0.000155761,0.000155761,0.000155761
20,8183.82,1.0573,0.78072,1.41124,0.6847,0.58763,0.66094,0.41473,1.24862,1.39098,1.81636,8.50255e-05,8.50255e-05,8.50255e-05
