epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.087,1.09598,0.90681,1.40059,0.66932,0.59544,0.6413,0.40051,1.24558,1.42639,1.78486,0.000474644,0.000474644,0.000474644
2,922.605,1.12739,0.92976,1.40788,0.71875,0.59136,0.63279,0.39285,1.27698,1.37107,1.8639,0.000932148,0.000932148,0.000932148
3,1348.81,1.14279,0.93672,1.42401,0.69024,0.57487,0.62122,0.37177,1.28831,1.49054,1.85018,0.00137079,0.00137079,0.00137079
4,1775.85,1.16404,0.95054,1.43643,0.64866,0.59686,0.60642,0.37031,1.2993,1.52752,1.87628,0.00134412,0.00134412,0.00134412
5,2199.72,1.13354,0.93962,1.42488,0.69999,0.58817,0.64145,0.39416,1.31066,1.41212,1.90654,0.00131582,0.00131582,0.00131582
6,2619.31,1.12932,0.93649,1.4163,0.67707,0.61398,0.63399,0.38959,1.31294,1.36905,1.89219,0.00128753,0.00128753,0.00128753
7,3038.61,1.13676,0.92535,1.42458,0.65137,0.62867,0.63738,0.39051,1.3171,1.44565,1.89679,0.00125923,0.00125923,0.00125923
8,3457.33,1.1217,0.91816,1.40987,0.74342,0.5608,0.62792,0.39001,1.34048,1.37474,1.9224,0.00123094,0.00123094,0.00123094
9,3876,1.10216,0.9162,1.40577,0.71431,0.60443,0.65166,0.3985,1.29055,1.37862,1.86073,0.00120265,0.00120265,0.00120265
10,4295.23,1.11111,0.90658,1.40337,0.69488,0.53936,0.61524,0.38011,1.26599,1.57667,1.8472,0.00117435,0.00117435,0.00117435
11,4715.49,1.10715,0.89949,1.38734,0.68726,0.56675,0.62553,0.38752,1.28444,1.4632,1.85225,0.00114606,0.00114606,0.00114606
12,5135.38,1.09416,0.89176,1.38382,0.70534,0.56607,0.64,0.3826,1.32037,1.476,1.87172,0.00111776,0.00111776,0.00111776
13,5554.3,1.08646,0.90025,1.38043,0.71572,0.55703,0.624,0.38286,1.28676,1.5133,1.84424,0.00108947,0.00108947,0.00108947
14,5972.74,1.08962,0.89091,1.38238,0.6774,0.61219,0.66007,0.40373,1.33351,1.45358,1.87448,0.00106118,0.00106118,0.00106118
15,6391.2,1.08986,0.86703,1.3724,0.64043,0.57503,0.60137,0.37075,1.27791,1.59924,1.82309,0.00103288,0.00103288,0.00103288
16,6811.34,1.06162,0.84655,1.36095,0.68912,0.58683,0.62925,0.39024,1.27606,1.50178,1.82613,0.00100459,0.00100459,0.00100459
17,7231.3,1.07514,0.84434,1.36138,0.68207,0.60729,0.6267,0.39288,1.29966,1.45444,1.88083,0.000976293,0.000976293,0.000976293
