epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.742,1.02461,0.68667,1.55666,0.69342,0.60614,0.64348,0.36088,1.47853,1.43248,2.29038,0.000474644,0.000474644,0.000474644
2,1414.7,0.96344,0.67195,1.43326,0.68943,0.58357,0.61242,0.33948,1.47683,1.54667,2.2971,0.000856831,0.000856831,0.000856831
3,2061.25,0.98002,0.69382,1.44392,0.71167,0.58314,0.62148,0.34924,1.43992,1.49034,2.27662,0.0011447,0.0011447,0.0011447
4,2691.04,0.95955,0.67883,1.41864,0.6727,0.58853,0.63114,0.3663,1.42702,1.50074,2.24323,0.00100459,0.00100459,0.00100459
5,3371.23,0.93561,0.64468,1.39109,0.69978,0.5591,0.63537,0.36765,1.43243,1.5445,2.22813,0.000863116,0.000863116,0.000863116
6,4087.24,0.91587,0.6306,1.38052,0.69606,0.54004,0.61224,0.35354,1.40581,1.60877,2.22472,0.000721645,0.000721645,0.000721645
7,4787.64,0.90349,0.60898,1.37066,0.64322,0.58009,0.61474,0.35904,1.41273,1.58009,2.2267,0.000580174,0.000580174,0.000580174
8,5500.04,0.8548,0.58407,1.33101,0.70315,0.57467,0.62787,0.36552,1.38104,1.48798,2.19475,0.000438703,0.000438703,0.000438703
9,6231.55,0.85327,0.58348,1.32864,0.67325,0.58139,0.63188,0.36923,1.37781,1.49724,2.18164,0.000297232,0.000297232,0.000297232
10,6932.3,0.83386,0.56493,1.31229,0.65005,0.5989,0.62309,0.36271,1.36155,1.50007,2.17961,0.000155761,0.000155761,0.000155761
