epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.112,0.9585,0.75517,1.28432,0.65943,0.58698,0.60208,0.36996,1.28854,1.4611,1.85485,0.000475066,0.000475066,0.000475066
2,876.823,0.99373,0.79013,1.30573,0.68479,0.60344,0.60244,0.37246,1.29172,1.47324,1.89744,0.000904306,0.000904306,0.000904306
3,1287.34,1.01471,0.79587,1.32238,0.68432,0.60356,0.62389,0.37822,1.2889,1.35088,1.85883,0.00128639,0.00128639,0.00128639
4,1698.85,1.02519,0.81841,1.33587,0.64695,0.60034,0.61794,0.37273,1.29067,1.46067,1.85662,0.00121679,0.00121679,0.00121679
5,2198.01,1.01791,0.81951,1.32288,0.64291,0.61916,0.64223,0.39794,1.27284,1.32118,1.8154,0.00114606,0.00114606,0.00114606
6,2618.66,1.01155,0.80828,1.32072,0.68316,0.61106,0.64384,0.40447,1.28927,1.36652,1.86149,0.00107532,0.00107532,0.00107532
7,3038.85,0.99958,0.8003,1.31571,0.62974,0.57443,0.58746,0.36181,1.28249,1.51798,1.84825,0.00100459,0.00100459,0.00100459
8,3447.09,1.00823,0.79866,1.31968,0.71191,0.57779,0.63032,0.38692,1.32172,1.3776,1.88447,0.000933851,0.000933851,0.000933851
9,3861.96,0.98895,0.78779,1.30133,0.69635,0.60385,0.63838,0.39259,1.29443,1.38053,1.87653,0.000863116,0.000863116,0.000863116
10,4274.76,0.98461,0.76927,1.30686,0.68245,0.58329,0.62034,0.38248,1.27376,1.33157,1.83895,0.00079238,0.00079238,0.00079238
11,4684.24,0.82067,0.56559,1.22813,0.71175,0.59527,0.62247,0.38388,1.2602,1.38532,1.84852,0.000721645,0.000721645,0.000721645
12,5091.2,0.81099,0.54812,1.22667,0.64075,0.6053,0.598,0.37269,1.27212,1.49182,1.85683,0.000650909,0.000650909,0.000650909
13,5495.44,0.78963,0.52543,1.20167,0.68921,0.57055,0.61463,0.38625,1.26341,1.45553,1.86604,0.000580174,0.000580174,0.000580174
14,5898.97,0.77583,0.52226,1.19957,0.69752,0.58834,0.62493,0.3904,1.25274,1.41554,1.86174,0.000509438,0.000509438,0.000509438
15,6305.63,0.76071,0.49365,1.18667,0.67881,0.59895,0.61987,0.3885,1.26829,1.40157,1.88728,0.000438703,0.000438703,0.000438703
16,6711.78,0.7521,0.49273,1.17824,0.64112,0.60796,0.61326,0.37808,1.25062,1.42033,1.84208,0.000367967,0.000367967,0.000367967
17,7117.2,0.74965,0.50037,1.16961,0.63525,0.60139,0.60243,0.37894,1.25167,1.46572,1.85298,0.000297232,0.000297232,0.000297232
18,7523.87,0.73702,0.47836,1.16971,0.66038,0.60336,0.62008,0.39182,1.24839,1.43694,1.85403,0.000226497,0.000226497,0.000226497
19,7929.47,0.72704,0.47692,1.16398,0.67471,0.586,0.61131,0.38357,1.254,1.46234,1.8631,0.000155761,0.000155761,0.000155761
20,8334.14,0.717,0.46694,1.15093,0.66298,0.59466,0.61287,0.38462,1.25834,1.45292,1.85883,8.50255e-05,8.50255e-05,8.50255e-05
