epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,636.272,1.08239,0.923,1.38102,0.65912,0.53823,0.57567,0.35221,1.29886,1.37392,1.91032,0.000475066,0.000475066,0.000475066
2,1242.17,1.14411,1.01935,1.41921,0.7095,0.57281,0.62,0.36408,1.38722,1.36874,2.00184,0.000935702,0.000935702,0.000935702
3,1850.35,1.18702,1.06482,1.45417,0.63448,0.55081,0.56246,0.32876,1.37813,1.49081,1.95078,0.00138062,0.00138062,0.00138062
4,2453.16,1.20916,1.10753,1.46642,0.69461,0.5553,0.62341,0.36204,1.40562,1.46106,1.9898,0.00135826,0.00135826,0.00135826
5,3058.72,1.21509,1.12364,1.48136,0.63968,0.51656,0.54209,0.31979,1.38185,1.65168,1.98671,0.00133469,0.00133469,0.00133469
6,3663.73,1.2196,1.10249,1.47889,0.65955,0.54666,0.58861,0.33903,1.37371,1.49904,1.93075,0.00131111,0.00131111,0.00131111
7,4269.15,1.20853,1.10804,1.46712,0.67774,0.54673,0.58239,0.33376,1.35368,1.45556,1.97262,0.00128753,0.00128753,0.00128753
8,4874.08,1.1841,1.08147,1.44866,0.65234,0.58,0.58268,0.34612,1.37857,1.43747,1.95714,0.00126395,0.00126395,0.00126395
9,5480.76,1.19764,1.10098,1.46353,0.67453,0.58174,0.60638,0.35046,1.33979,1.47118,1.91318,0.00124037,0.00124037,0.00124037
10,6088.82,1.19131,1.06397,1.45351,0.66899,0.54947,0.60952,0.35181,1.35368,1.50421,1.89287,0.00121679,0.00121679,0.00121679
11,6702.44,1.1546,1.03726,1.43691,0.62172,0.56131,0.57836,0.34391,1.32307,1.47349,1.8895,0.00119322,0.00119322,0.00119322
12,7307.32,1.15734,1.05099,1.44191,0.64034,0.59148,0.62362,0.36064,1.32764,1.37332,1.90898,0.00116964,0.00116964,0.00116964
13,7912.11,1.1507,1.01606,1.4214,0.64817,0.58007,0.58521,0.35167,1.37464,1.47565,1.94607,0.00114606,0.00114606,0.00114606
14,8515.34,1.14641,1.01237,1.4202,0.63689,0.58281,0.61304,0.36114,1.32293,1.4946,1.90806,0.00112248,0.00112248,0.00112248
15,9118.49,1.13985,1.01282,1.42069,0.63509,0.52766,0.57829,0.33378,1.41417,1.55696,1.94701,0.0010989,0.0010989,0.0010989
16,9705.53,1.13892,0.99675,1.4281,0.68551,0.59469,0.62786,0.37263,1.30996,1.46141,1.89812,0.00107532,0.00107532,0.00107532
17,10291.7,1.11605,0.97461,1.40268,0.61926,0.50129,0.5317,0.31946,1.34715,1.74,1.93885,0.00105174,0.00105174,0.00105174
18,10878.3,1.10314,0.9449,1.38475,0.6025,0.52203,0.52682,0.31871,1.29587,1.61037,1.87227,0.00102817,0.00102817,0.00102817
19,11465.2,1.09981,0.94815,1.38856,0.61684,0.592,0.6053,0.36716,1.31879,1.48221,1.8648,0.00100459,0.00100459,0.00100459
20,12054.4,1.09137,0.93443,1.38924,0.5747,0.49608,0.49466,0.30334,1.30941,1.84583,1.86135,0.000981008,0.000981008,0.000981008
21,12647,1.09609,0.94011,1.38086,0.6718,0.55984,0.61653,0.36338,1.33795,1.41525,1.89051,0.00095743,0.00095743,0.00095743
22,13238,1.07763,0.93312,1.37255,0.6335,0.51419,0.53393,0.32118,1.29402,1.70867,1.85337,0.000933851,0.000933851,0.000933851
23,13824.8,1.06279,0.92312,1.37026,0.6485,0.61155,0.61895,0.38108,1.3116,1.4184,1.88194,0.000910273,0.000910273,0.000910273
24,14416,1.05216,0.88127,1.35452,0.68559,0.58556,0.63583,0.38396,1.29681,1.40771,1.8511,0.000886694,0.000886694,0.000886694
25,15001.4,1.05118,0.8849,1.35601,0.5867,0.54723,0.57047,0.32953,1.3667,1.71127,1.9225,0.000863116,0.000863116,0.000863116
26,15589.1,1.05102,0.89469,1.35739,0.6667,0.56862,0.59946,0.36125,1.28178,1.41442,1.84739,0.000839537,0.000839537,0.000839537
27,16175.4,1.03255,0.87279,1.34017,0.69315,0.56634,0.6205,0.37878,1.34295,1.36391,1.94484,0.000815959,0.000815959,0.000815959
28,16763.4,1.04448,0.85935,1.34776,0.63291,0.58988,0.6154,0.37878,1.3106,1.41933,1.8617,0.00079238,0.00079238,0.00079238
29,17348.1,1.02783,0.83948,1.3398,0.70628,0.58107,0.64048,0.39185,1.31858,1.30637,1.87102,0.000768802,0.000768802,0.000768802
30,17935.1,1.02161,0.83192,1.33602,0.68968,0.62828,0.65866,0.40041,1.2816,1.22402,1.85297,0.000745223,0.000745223,0.000745223
