epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.438,0.84117,0.64285,1.19997,0.65515,0.62133,0.64539,0.40324,1.29889,1.3488,1.90438,0.000475066,0.000475066,0.000475066
2,974.893,0.85963,0.65479,1.21409,0.6867,0.56476,0.61937,0.38852,1.28079,1.4778,1.88533,0.000904306,0.000904306,0.000904306
3,1457.15,0.86417,0.65868,1.21778,0.68364,0.61969,0.65712,0.4078,1.28664,1.29137,1.86622,0.00128639,0.00128639,0.00128639
4,1940.92,0.87212,0.66922,1.22409,0.69583,0.61674,0.65645,0.40319,1.30553,1.34837,1.92188,0.00121679,0.00121679,0.00121679
5,2421.18,0.86884,0.66929,1.22327,0.66486,0.59142,0.64375,0.39979,1.29124,1.3732,1.89612,0.00114606,0.00114606,0.00114606
6,2840.39,0.87315,0.66697,1.21956,0.71362,0.59319,0.64561,0.40399,1.3009,1.30178,1.91218,0.00107532,0.00107532,0.00107532
7,3254.85,0.87316,0.66323,1.22363,0.67881,0.56824,0.61979,0.38589,1.30487,1.49331,1.9019,0.00100459,0.00100459,0.00100459
8,3676.54,0.87709,0.65965,1.22956,0.70117,0.59653,0.64244,0.40131,1.32516,1.41987,1.93753,0.000933851,0.000933851,0.000933851
9,4096.34,0.85035,0.64228,1.20469,0.65448,0.61455,0.6321,0.39475,1.30644,1.43639,1.94916,0.000863116,0.000863116,0.000863116
10,4517,0.85442,0.64154,1.21639,0.70991,0.60046,0.63313,0.39762,1.29643,1.32298,1.89858,0.00079238,0.00079238,0.00079238
11,4934.14,0.69325,0.46481,1.13246,0.66941,0.60605,0.61802,0.391,1.30052,1.39202,1.96083,0.000721645,0.000721645,0.000721645
12,5345.18,0.68942,0.46,1.13567,0.67231,0.55356,0.57482,0.35929,1.30043,1.54679,1.93576,0.000650909,0.000650909,0.000650909
13,5760.61,0.67465,0.44271,1.11484,0.66138,0.60009,0.62802,0.39674,1.28131,1.42063,1.9224,0.000580174,0.000580174,0.000580174
14,6172.53,0.65783,0.43321,1.11266,0.7177,0.56902,0.63737,0.39967,1.27892,1.422,1.93906,0.000509438,0.000509438,0.000509438
15,6589.44,0.6441,0.41325,1.10206,0.70694,0.60065,0.64342,0.41053,1.29096,1.37625,1.97453,0.000438703,0.000438703,0.000438703
16,7007.65,0.64031,0.41423,1.09643,0.70277,0.59229,0.63627,0.39869,1.28329,1.3848,1.93352,0.000367967,0.000367967,0.000367967
17,7422.57,0.6332,0.41167,1.08722,0.69666,0.5994,0.64077,0.40758,1.26648,1.40934,1.92976,0.000297232,0.000297232,0.000297232
18,7843.62,0.62842,0.40611,1.09302,0.7227,0.57722,0.64423,0.40975,1.27026,1.42455,1.93427,0.000226497,0.000226497,0.000226497
19,8262.55,0.62021,0.40594,1.08605,0.70432,0.60024,0.64259,0.40518,1.273,1.4102,1.93878,0.000155761,0.000155761,0.000155761
20,8673.98,0.60913,0.3912,1.07323,0.70201,0.58761,0.63986,0.40567,1.28168,1.40495,1.94811,8.50255e-05,8.50255e-05,8.50255e-05
