epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,634.827,1.46879,2.70166,1.81299,0.32929,0.45063,0.31833,0.16043,1.41716,3.3428,2.05052,0.000474644,0.000474644,0.000474644
2,1137.66,1.51958,2.18245,1.83877,0.53642,0.37846,0.4158,0.21061,1.56479,2.66328,2.16079,0.000856831,0.000856831,0.000856831
3,1660.09,1.53155,1.945,1.8449,0.54328,0.42579,0.39811,0.21068,1.46528,2.74018,2.04399,0.0011447,0.0011447,0.0011447
4,2226.25,1.48685,1.78347,1.78788,0.54721,0.48193,0.48581,0.26585,1.44872,2.17008,1.98532,0.00100459,0.00100459,0.00100459
5,2737.61,1.43595,1.62565,1.7394,0.5183,0.46941,0.47334,0.26486,1.41335,2.18639,1.96427,0.000863116,0.000863116,0.000863116
6,3264.49,1.4024,1.49831,1.70078,0.6373,0.46109,0.51977,0.29584,1.38049,2.05365,1.92591,0.000721645,0.000721645,0.000721645
7,3750.25,1.35411,1.39143,1.66263,0.62352,0.45384,0.49009,0.28364,1.3664,2.20925,1.91607,0.000580174,0.000580174,0.000580174
8,4244.87,1.30701,1.30598,1.62388,0.55757,0.50385,0.50378,0.28875,1.36717,2.05405,1.94235,0.000438703,0.000438703,0.000438703
9,4736.54,1.27742,1.22879,1.58894,0.60516,0.47413,0.49857,0.29147,1.34837,2.18659,1.89064,0.000297232,0.000297232,0.000297232
10,5180.51,1.24231,1.17647,1.54916,0.5801,0.49974,0.51381,0.30449,1.31719,1.97324,1.86095,0.000155761,0.000155761,0.000155761
