epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4444,1.68072,3.24091,1.83548,0.00733,0.8499,0.16023,0.07356,1.36458,3.23217,1.78981,6.668e-05,6.668e-05,6.668e-05
2,42.1954,1.54139,3.01155,1.69476,0.00763,0.97368,0.25852,0.13377,1.36371,3.17228,1.71302,0.000147059,0.000147059,0.000147059
3,60.7464,1.49107,2.60857,1.64505,0.00761,1,0.27849,0.12906,1.50078,3.12672,1.78018,0.000224138,0.000224138,0.000224138
4,78.5655,1.56834,2.37075,1.66068,0.00728,0.95517,0.2645,0.12811,1.46103,3.1224,1.84633,0.000297916,0.000297916,0.000297916
5,96.0095,1.52203,2.20576,1.6412,0.00735,0.95517,0.2003,0.088,1.52706,3.1536,1.91242,0.000368394,0.000368394,0.000368394
6,112.8,1.49978,2.13556,1.68536,0.00711,0.91813,0.16662,0.0807,1.6223,3.11601,1.97431,0.00043557,0.00043557,0.00043557
7,129.658,1.5147,2.14568,1.64983,0.37248,0.15307,0.26441,0.12374,1.62528,2.93794,1.86812,0.000499447,0.000499447,0.000499447
8,146.765,1.4314,2.06167,1.55768,0.35666,0.20565,0.28391,0.13126,1.59012,2.75907,1.80947,0.000560022,0.000560022,0.000560022
9,163.746,1.48728,2.00649,1.60725,0.76554,0.26316,0.40094,0.21141,1.66054,2.66398,1.86724,0.000617297,0.000617297,0.000617297
10,180.76,1.49242,1.96667,1.63295,0.58049,0.28168,0.36268,0.17347,1.71172,2.76956,1.92255,0.000671271,0.000671271,0.000671271
11,197.603,1.47443,1.88769,1.55061,0.44594,0.2839,0.36877,0.18432,1.72944,2.75896,1.95353,0.000721944,0.000721944,0.000721944
12,214.46,1.44657,1.93909,1.56749,0.48373,0.28168,0.26072,0.09709,1.96731,2.94681,2.31228,0.000769317,0.000769317,0.000769317
13,231.201,1.41965,1.80719,1.54641,0.49562,0.18861,0.17331,0.05835,2.09799,3.05287,2.386,0.000813389,0.000813389,0.000813389
14,248.051,1.39794,1.7562,1.53134,0.29076,0.04483,0.08489,0.03703,2.3157,3.20876,2.51679,0.000854161,0.000854161,0.000854161
15,265.011,1.45833,1.73196,1.65277,0.21337,0.27973,0.15875,0.06258,1.98314,2.78708,2.28759,0.000891632,0.000891632,0.000891632
16,281.826,1.41479,1.66708,1.4942,0.19901,0.2271,0.17987,0.07957,1.95648,2.87364,2.27528,0.000925802,0.000925802,0.000925802
17,298.825,1.34508,1.67989,1.4935,0.35334,0.15604,0.17238,0.07803,2.07987,3.0941,2.31298,0.000956671,0.000956671,0.000956671
18,315.92,1.30645,1.56492,1.40954,0.23468,0.13008,0.17029,0.0886,1.98373,2.9949,2.2288,0.00098424,0.00098424,0.00098424
19,332.608,1.35727,1.54989,1.49868,0.28495,0.21345,0.2203,0.09384,1.8687,2.89386,2.10639,0.00100851,0.00100851,0.00100851
20,349.348,1.41187,1.47852,1.50061,0.31993,0.29532,0.24719,0.11372,1.87782,2.79569,2.10083,0.00102948,0.00102948,0.00102948
21,366.138,1.29933,1.51642,1.4441,0.27528,0.21637,0.28401,0.13409,1.83442,2.80943,2.11843,0.00100687,0.00100687,0.00100687
22,382.855,1.3451,1.48464,1.47808,0.32918,0.21637,0.25591,0.11509,1.95322,2.91609,2.1798,0.000973861,0.000973861,0.000973861
23,399.501,1.26613,1.40311,1.42615,0.40265,0.31384,0.22853,0.09904,1.94983,2.90871,2.19757,0.000940855,0.000940855,0.000940855
24,416.293,1.28179,1.35509,1.39822,0.30687,0.34503,0.21358,0.07835,2.19994,2.93263,2.25673,0.000907848,0.000907848,0.000907848
25,432.989,1.23715,1.31116,1.42853,0.30249,0.31871,0.20028,0.08027,2.16224,3.0204,2.254,0.000874842,0.000874842,0.000874842
26,449.622,1.2654,1.35722,1.40203,0.34414,0.34503,0.22479,0.11969,1.98209,2.90438,2.1466,0.000841835,0.000841835,0.000841835
27,466.378,1.22904,1.32922,1.38503,0.5632,0.34939,0.25243,0.13438,1.94503,2.85904,2.12101,0.000808828,0.000808828,0.000808828
28,483.118,1.19357,1.28392,1.34769,0.39369,0.38796,0.32662,0.15041,2.08393,2.72659,2.15088,0.000775822,0.000775822,0.000775822
29,499.749,1.17617,1.36657,1.38669,0.33425,0.46101,0.319,0.14219,2.03887,2.72285,2.12532,0.000742815,0.000742815,0.000742815
30,516.606,1.23439,1.31275,1.34663,0.43301,0.32651,0.29993,0.14018,1.93122,2.77835,2.04506,0.000709809,0.000709809,0.000709809
31,533.377,1.16702,1.19173,1.35415,0.35381,0.33517,0.22627,0.11372,1.80817,2.84391,1.93103,0.000676802,0.000676802,0.000676802
32,550.222,1.13868,1.19529,1.29591,0.13907,0.26316,0.20779,0.10172,1.76102,2.9433,1.93535,0.000643795,0.000643795,0.000643795
33,567.094,1.16733,1.20775,1.34557,0.17904,0.23684,0.23893,0.10194,1.81288,2.85551,1.98609,0.000610789,0.000610789,0.000610789
34,583.91,1.0948,1.13928,1.276,0.30699,0.30799,0.27014,0.13379,1.80124,2.85978,1.99059,0.000577782,0.000577782,0.000577782
35,600.685,1.14944,1.18527,1.34926,0.41181,0.33829,0.26779,0.12978,1.7575,2.86308,1.99798,0.000544776,0.000544776,0.000544776
36,617.458,1.08569,1.14446,1.32586,0.36057,0.30019,0.23749,0.11121,1.77208,2.96244,2.00629,0.000511769,0.000511769,0.000511769
37,634.132,1.09879,1.1578,1.28034,0.43052,0.30019,0.25086,0.13252,1.75002,2.93607,1.97421,0.000478762,0.000478762,0.000478762
38,650.953,1.09591,1.18679,1.31084,0.43998,0.34919,0.27548,0.13941,1.71065,2.86104,1.9663,0.000445756,0.000445756,0.000445756
